url,description
https://www.dlsu.edu.ph/about-dlsu,About
https://www.dlsu.edu.ph/inside,Facts and Figures
https://www.dlsu.edu.ph/inside/vision-mission,Vision-Mission
https://www.dlsu.edu.ph/guiding-principles,Lasallian Guiding Principles
https://www.dlsu.edu.ph/history-and-traditions,History and Traditions
https://www.dlsu.edu.ph/university-governance,University Governance
https://www.dlsu.edu.ph/code-of-ethics,Code of Ethics
https://www.dlsu.edu.ph/about-dlsu/ourcorevalues,Our Core Values
https://www.dlsu.edu.ph/smqa,Quality@DLSU
https://www.dlsu.edu.ph/offices/president,DLSU President
https://www.dlsu.edu.ph/administration,DLSU Administration
https://www.dlsu.edu.ph/university-fellows,DLSU Fellows
https://www.dlsu.edu.ph/emeriti,DLSU Emeriti
https://www.dlsu.edu.ph/brothers,De La Salle Brothers
https://www.dlsu.edu.ph/lasallianmission,Lasallian Mission
https://www.dlsu.edu.ph/staff-directory,Staff Directory
https://www.dlsu.edu.ph/jobs,Jobs@DLSU
https://www.dlsu.edu.ph/offices,Offices
https://www.dlsu.edu.ph/offices/president/aaro,Alumni
https://www.dlsu.edu.ph/inside/board-advisors,Board of Advisors
https://www.dlsu.edu.ph/admissions,Admissions
https://www.dlsu.edu.ph/admissions/scholarships,Scholarships
https://www.dlsu.edu.ph/admissions/undergraduate,Undergraduate
https://www.dlsu.edu.ph/admissions/graduate,Graduate
https://www.dlsu.edu.ph/integrated-school,Integrated School
https://www.dlsu.edu.ph/integratedschool-test/senior-high-school,Senior High School
https://www.dlsu.edu.ph/colleges,Academics
https://www.dlsu.edu.ph/colleges/bagced,Brother Andrew Gonzalez FSC College of Education
https://www.dlsu.edu.ph/colleges/bagced/academic-departments/counseling-educational-psychology,Counseling and Educational Psychology
https://www.dlsu.edu.ph/colleges/bagced/academic-departments/educational-leadership-management,Educational Leadership and Management
https://www.dlsu.edu.ph/colleges/bagced/academic-departments/english-applied-linguistics,English and Applied Linguistics
https://www.dlsu.edu.ph/colleges/bagced/academic-departments/physical-education,Physical Education
https://www.dlsu.edu.ph/colleges/bagced/academic-departments/science-education,Science Education
https://www.dlsu.edu.ph/colleges/ccs,College of Computer Studies
https://www.dlsu.edu.ph/colleges/ccs/academic-departments/computer-technology,Computer Technology
https://www.dlsu.edu.ph/colleges/ccs/academic-departments/information-technology,Information Technology
https://www.dlsu.edu.ph/colleges/ccs/academic-departments/software-technology,Software Technology
https://www.dlsu.edu.ph/tdsol,Tañada-Diokno School of Law
https://www.dlsu.edu.ph/colleges/cla,College of Liberal Arts
https://www.dlsu.edu.ph/colleges/cla/academic-departments/behavioral-sciences,Behavioral Sciences
https://www.dlsu.edu.ph/colleges/cla/academic-departments/communication,Communication
https://www.dlsu.edu.ph/colleges/cla/academic-departments/filipino,Filipino
https://www.dlsu.edu.ph/colleges/cla/academic-departments/history,History
https://www.dlsu.edu.ph/colleges/cla/academic-departments/international-studies,International Studies
https://www.dlsu.edu.ph/colleges/cla/academic-departments/literature,Literature
https://www.dlsu.edu.ph/colleges/cla/academic-departments/philosophy,Philosophy
https://www.dlsu.edu.ph/colleges/cla/academic-departments/political-science,Political Science
https://www.dlsu.edu.ph/colleges/cla/academic-departments/psychology,Psychology
https://www.dlsu.edu.ph/colleges/cla/academic-departments/theology-religious-education,Theology and Religious Education
https://www.dlsu.edu.ph/colleges/cos,College of Science
https://www.dlsu.edu.ph/colleges/cos/departments/biology,Biology
https://www.dlsu.edu.ph/colleges/cos/departments/chemistry,Chemistry
https://www.dlsu.edu.ph/colleges/cos/departments/mathematics,Mathematics and Statistics
https://www.dlsu.edu.ph/colleges/cos/departments/physics,Physics
https://www.dlsu.edu.ph/colleges/gcoe,Gokongwei College of Engineering
https://www.dlsu.edu.ph/colleges/gcoe/academic-departments/chemical-engineering,Chemical Engineering
https://www.dlsu.edu.ph/colleges/gcoe/academic-departments/civil-engineering,Civil Engineering
https://www.dlsu.edu.ph/colleges/gcoe/academic-departments/electronics-communications-engineering,Electronics and Communications Engineering
https://www.dlsu.edu.ph/colleges/gcoe/academic-departments/industrial-engineering,Industrial Engineering
https://www.dlsu.edu.ph/colleges/gcoe/academic-departments/manufacturing-engineering-management,Manufacturing Engineering and Management
